catalog,capacity,method,run,runtime_ms,value
C1,140,Greedy,1,0.001959037035703659,282
C1,140,Greedy,2,0.0019160797819495201,282
C1,140,Greedy,3,0.0019579892978072166,282
C1,140,Greedy,4,0.0018749851733446121,282
C1,140,DP,0,0.13637496158480644,282
C1,140,DP,1,0.13441592454910278,282
C1,140,DP,2,0.13299996498972178,282
C1,140,DP,3,0.1329589867964387,282
C1,140,DP,4,0.13299996498972178,282
C1,140,Backtracking,0,0.012457952834665775,282
C1,140,Backtracking,1,0.01208402682095766,282
C1,140,Backtracking,2,0.01195794902741909,282
C1,140,Backtracking,3,0.01191697083413601,282
C1,140,Backtracking,4,0.012042000889778137,282
C2,0,Greedy,0,0.00016600824892520905,0
C2,0,Greedy,1,0.00016705598682165146,0
C2,0,Greedy,2,0.00016693957149982452,0
C2,0,Greedy,3,0.00016705598682165146,0
C2,0,Greedy,4,0.000125030055642128,0
C2,0,DP,0,0.00016693957149982452,0
C2,0,DP,1,0.000125030055642128,0
C2,0,DP,2,0.00016693957149982452,0
C2,0,DP,3,0.000125030055642128,0
C2,0,DP,4,0.00016600824892520905,0
C2,0,Backtracking,0,0.00033294782042503357,0
C2,0,Backtracking,1,0.000208965502679348,0
C2,0,Backtracking,2,0.00016600824892520905,0
C2,0,Backtracking,3,0.0002080341801047325,0
C2,0,Backtracking,4,0.00016600824892520905,0
C2,20,Greedy,0,0.001374981366097927,60
C2,20,Greedy,1,0.0012079253792762756,60
C2,20,Greedy,2,0.001125037670135498,60
C2,20,Greedy,3,0.001125037670135498,60
C2,20,Greedy,4,0.0010830117389559746,60
C2,20,DP,0,0.004084082320332527,100
C2,20,DP,1,0.0035830307751893997,100
C2,20,DP,2,0.0034580007195472717,100
C2,20,DP,3,0.003458932042121887,100
C2,20,DP,4,0.003374996595084667,100
C2,20,Backtracking,0,0.005749985575675964,100
C2,20,Backtracking,1,0.004834029823541641,100
C2,20,Backtracking,2,0.004458008334040642,100
C2,20,Backtracking,3,0.00466697383671999,100
C2,20,Backtracking,4,0.004541012458503246,100
C2,35,Greedy,0,0.0012080417945981026,160
C2,35,Greedy,1,0.001208973117172718,160
C2,35,Greedy,2,0.001166015863418579,160
C2,35,Greedy,3,0.0011670636013150215,160
C2,35,Greedy,4,0.0011670636013150215,160
C2,35,DP,0,0.007583992555737495,160
C2,35,DP,1,0.007291091606020927,160
C2,35,DP,2,0.007166992872953415,160
C2,35,DP,3,0.0071249669417738914,160
C2,35,DP,4,0.007082941010594368,160
C2,35,Backtracking,0,0.004458008334040642,160
C2,35,Backtracking,1,0.004333094693720341,160
C2,35,Backtracking,2,0.004208995960652828,160
C2,35,Backtracking,3,0.004208064638078213,160
C2,35,Backtracking,4,0.0040839659050107,160
C2,50,Greedy,0,0.0011670636013150215,160
C2,50,Greedy,1,0.0011669471859931946,160
C2,50,Greedy,2,0.001125037670135498,160
C2,50,Greedy,3,0.0011670636013150215,160
C2,50,Greedy,4,0.0011249212548136711,160
C2,50,DP,0,0.01366704236716032,220
C2,50,DP,1,0.013542012311518192,220
C2,50,DP,2,0.013417098671197891,220
C2,50,DP,3,0.013458076864480972,220
C2,50,DP,4,0.013416982255876064,220
C2,50,Backtracking,0,0.010500079952180386,220
C2,50,Backtracking,1,0.01029099803417921,220
C2,50,Backtracking,2,0.010124989785254002,220
C2,50,Backtracking,3,0.010082963854074478,220
C2,50,Backtracking,4,0.009958981536328793,220
C2,65,Greedy,0,0.0012919772416353226,280
C2,65,Greedy,1,0.0012919772416353226,280
C2,65,Greedy,2,0.001208973117172718,280
C2,65,Greedy,3,0.001166015863418579,280
C2,65,Greedy,4,0.0011669471859931946,280
C2,65,DP,0,0.021957908757030964,290
C2,65,DP,1,0.021541956812143326,290
C2,65,DP,2,0.021583051420748234,290
C2,65,DP,3,0.021374900825321674,290
C2,65,DP,4,0.021292013116180897,290
C2,65,Backtracking,0,0.006166985258460045,290
C2,65,Backtracking,1,0.005874899215996265,290
C2,65,Backtracking,2,0.005958019755780697,290
C2,65,Backtracking,3,0.005832989700138569,290
C2,65,Backtracking,4,0.005749985575675964,290
C2,80,Greedy,0,0.001374981366097927,280
C2,80,Greedy,1,0.001249951310455799,280
C2,80,Greedy,2,0.0012080417945981026,280
C2,80,Greedy,3,0.001209089532494545,280
C2,80,Greedy,4,0.0011669471859931946,280
C2,80,DP,0,0.031000003218650818,315
C2,80,DP,1,0.030458089895546436,315
C2,80,DP,2,0.030499999411404133,315
C2,80,DP,3,0.03033305983990431,315
C2,80,DP,4,0.030333991162478924,315
C2,80,Backtracking,0,0.014958088286221027,315
C2,80,Backtracking,1,0.014457968063652515,315
C2,80,Backtracking,2,0.014625024050474167,315
C2,80,Backtracking,3,0.014499993994832039,315
C2,80,Backtracking,4,0.01858395989984274,315
C2,95,Greedy,0,0.002625049091875553,410
C2,95,Greedy,1,0.001374981366097927,410
C2,95,Greedy,2,0.001249951310455799,410
C2,95,Greedy,3,0.0012919772416353226,410
C2,95,Greedy,4,0.001249951310455799,410
C2,95,DP,0,0.039917067624628544,410
C2,95,DP,1,0.03966700751334429,410
C2,95,DP,2,0.03958295565098524,410
C2,95,DP,3,0.039624981582164764,410
C2,95,DP,4,0.039624981582164764,410
C2,95,Backtracking,0,0.005375011824071407,410
C2,95,Backtracking,1,0.00500003807246685,410
C2,95,Backtracking,2,0.004875008016824722,410
C2,95,Backtracking,3,0.004959059879183769,410
C2,95,Backtracking,4,0.004958012141287327,410
C2,110,Greedy,0,0.001500011421740055,410
C2,110,Greedy,1,0.0012919772416353226,410
C2,110,Greedy,2,0.0011658994480967522,410
C2,110,Greedy,3,0.001250067725777626,410
C2,110,Greedy,4,0.001209089532494545,410
C2,110,DP,0,0.049208058044314384,430
C2,110,DP,1,0.04875008016824722,430
C2,110,DP,2,0.04854192957282066,430
C2,110,DP,3,0.048749963752925396,430
C2,110,DP,4,0.04862493369728327,430
C2,110,Backtracking,0,0.013499986380338669,430
C2,110,Backtracking,1,0.013125012628734112,430
C2,110,Backtracking,2,0.013040960766375065,430
C2,110,Backtracking,3,0.013125012628734112,430
C2,110,Backtracking,4,0.01325004268437624,430
